method,step,seconds,test_loss,test_accuracy
gradient_descent,0,0.0000,2.303146,0.097700
gradient_descent,1,0.1065,0.518965,0.853200
gradient_descent,2,0.2067,0.358427,0.898300
gradient_descent,3,0.3076,0.312847,0.912300
gradient_descent,4,0.4086,0.287526,0.919400
gradient_descent,5,0.5144,0.268831,0.924100
gradient_descent,6,0.6368,0.253535,0.927600
gradient_descent,7,0.7574,0.240144,0.931500
gradient_descent,8,0.8817,0.228332,0.933700
gradient_descent,9,1.0010,0.218065,0.936700
gradient_descent,10,1.1338,0.208800,0.939800
genetic_algorithm,0,0.0000,2.303146,0.097700
genetic_algorithm,1,5.0208,1.818573,0.387800
genetic_algorithm,2,10.8221,1.489393,0.527600
genetic_algorithm,3,17.8186,1.284097,0.592200
genetic_algorithm,4,24.4639,1.125309,0.631500
genetic_algorithm,5,30.1177,1.024068,0.663000
genetic_algorithm,6,35.2643,0.929733,0.693400
genetic_algorithm,7,40.4904,0.871699,0.715500
genetic_algorithm,8,45.8732,0.814575,0.733600
genetic_algorithm,9,51.1899,0.801228,0.740000
genetic_algorithm,10,56.4488,0.799049,0.743700
